ac_nmdwh,dim_domain_mkt_hist
auctions_ta,an_sourced
auctions_ta,an_sourced_archive
auctions_ta,coas
auctions_ta,coas_archive
auctions_ta,domains
auctions_ta,domains_archive
auctions_ta,domainstatus
auctions_ta,faileddomain
auctions_ta,failuretypes
auctions_ta,fraudstatus
auctions_ta,fulfillment
auctions_ta,fulfillment_archive
auctions_ta,payeestatus
auctions_ta,payment
auctions_ta,payment_archive
auctions_ta,ta
auctions_ta,ta_archive
auctions_ta,tastatus
bigreporting,dim_product
bigreporting,rpt_receipt_item_freetrialdetail_history
bigreporting,rptcountry
bigreporting,rptcurrencyconversionrate
bigreporting,rptdomainrenewaldetail
bigreporting,rptdomainsnapshotportfolio
bigreporting,rptfreetrialconversion
bigreporting,rptnewcustomerdetail
bigreporting,rptorderdetail
bigreporting,rptorderdetailexcludeorders
bigreporting,rptrefunddetail
bigreporting,rptregion
bigreporting,rptspendaffiliateimportdetail
bigreporting,rptspendcommissionjunctionimportdetail
bigreporting,rptspendpostlogstaging
bilogireporting,rptdailystatsbydeptloc
c3_crm,callmain
c3_crm,callsecondary
c3_crm,callstate
c3_crm,cart
c3_crm,cartemail
c3_crm,cartitem
c3_crm,crm_bulkrefund
c3_crm,crm_bulkrefundstatus
c3_crm,crm_bulkrefundtype
c3_crm,crm_bulkshoppermap
c3_crm,crm_callcompleteddetail
c3_crm,crm_callcompletedheader
c3_crm,crm_calldetail
c3_crm,crm_callheader
c3_crm,crm_callheaderauditciscotimes
c3_crm,crm_callheadertype
c3_crm,crm_callnotes
c3_crm,crm_callportfoliooutbound
c3_crm,crm_callportfoliooutboundcomplete
c3_crm,crm_callportfoliooutbounddetail
c3_crm,crm_callportfoliooutbounddetailcomplete
c3_crm,crm_callschedule
c3_crm,crm_callstate
c3_crm,crm_calltype
c3_crm,crm_cancellationrequest
c3_crm,crm_communicationlog
c3_crm,crm_communicationtype
c3_crm,crm_creditmovedresource
c3_crm,crm_creditmoverequest
c3_crm,crm_creditmoverequestdetail
c3_crm,crm_dialercommunicationlog
c3_crm,crm_dialercommunicationtype
c3_crm,crm_mergerequests
c3_crm,crm_outbound
c3_crm,crm_outbound_mtm_resource
c3_crm,crm_outboundaudit
c3_crm,crm_outboundnotes
c3_crm,crm_outboundstatelookup
c3_crm,crm_outboundtypelookup
c3_crm,crm_predictivedialerreconciliation
c3_crm,crm_receiptmoverequest
c3_crm,crm_receiptmoverequeststatuslookup
c3_crm,crm_refundreasonlookup
c3_crm,crm_refundrequest
c3_crm,crm_refundrequestauditlog
c3_crm,crm_refundrequestdetail
c3_crm,crm_salesbyoutboundtask
c3_crm,crm_shoppermap
c3_crm,crm_taskactionlookup
c3_crm,crm_ucid
c3_crm,crm_ucid_css_log
c3_crm,crm_ucid_mtm_callheader
c3_crm,crm_ucid_mtm_cart
c3_crm,crm_ucid_mtm_chat
c3_crm,crm_ucid_mtm_icm
c3_crm,crm_ucid_mtm_interactionsauthentication
c3_crm,crm_ucid_mtm_order
