ac_nmdwh,dim_domain_mkt_hist
auctions_ta,domains
auctions_ta,domains_archive
auctions_ta,fulfillment
auctions_ta,fulfillment_archive
auctions_ta,ta
auctions_ta,ta_archive
bigreporting,dim_product
bigreporting,rpt_receipt_item_freetrialdetail_history
bigreporting,rptcountry
bigreporting,rptcurrencyconversionrate
bigreporting,rptfreetrialconversion
bigreporting,rptnewcustomerdetail
bigreporting,rptorderdetail
bigreporting,rptorderdetailexcludeorders
bigreporting,rptrefunddetail
bigreporting,rptregion
c3_crm,callmain
c3_crm,crm_cancellationrequest
c3_crm,crm_outbound
c3_crm,crm_outbound_mtm_resource
c3_crm,crm_outboundaudit
c3_crm,crm_outboundstatelookup
c3_crm,crm_predictivedialerreconciliation
c3_crm,crm_refundreasonlookup
c3_crm,crm_refundrequest
c3_crm,crm_refundrequestdetail
c3_crm,crm_taskactionlookup
c3_crm,crm_ucid
c3_crm,crm_ucid_mtm_chat
c3_crm,crm_ucid_mtm_order
c3_crm,crm_ucid_mtm_shopper
c3_crm,disposition
c3_iris,iriscategory
c3_iris,irisgroup
c3_iris,irisincidentaction
c3_iris,irisincidentlog
c3_iris,irisincidentmain
c3_iris,irispriority
c3_iris,irisservice
c3_iris,irisstatus
c3_repinfo,crm_locationlookup
c3_repinfo,crm_rephierarchy
c3_repinfo,emdepartment
c3_repinfo,emlocation
c3_repinfo,emreptype
c3_repinfo,emrepversion
c3_repinfo,emrepversionmtmemshiftschedule
c3_repinfo,emshift
c3_repinfo,emshiftscheduledayofweek
c3_repinfo,manager_user_catagories
c3_repinfo,manager_user_mtm_team
c3_repinfo,manager_users
c3_shoppernotes,gdnoteaccessreason
c3_shoppernotes,gdnotecustomernote
c3_shoppernotes,gdnotefootprint
c3_shoppernotes,gdnotenotetypelookup
c3_shoppernotes,gdnotetemplate
c3_shoppernotes,gdnotevalidationtype
c3_systemnotes,gdnotesshoppernote
callcenterreporting,crm_locationlookup
callcenterreporting,crm_rephierarchy
callcenterreporting,orksegment
callcenterreporting,rpt_c3_orders
callcenterreporting,rpt_c3_orders_ordersource
callcenterreporting,rpt_c3_refundrepurchase
callcenterreporting,rpt_c3_refunds
callcenterreporting,rptc3departments
callcenterreporting,rptcallcentercalltype_audit
callcenterreporting,rptcalltypemaster
callcenterreporting,rptdailystatsbyrep
callcenterreporting,rptdimc3calltype
callcenterreporting,rptdimc3campaign
callcenterreporting,rptdimc3taskdisposition
callcenterreporting,rptfactc3inboundcall
callcenterreporting,rptfactc3outboundcall
callcenterreporting,rptgenpactorders
callcenterreporting,rptlocationlookup
callcenterreporting,t_agent
callcenterreporting,t_call_type_half_hour
callcenterreporting,t_campaign
callcenterreporting,t_dialer_detail
callcenterreporting,t_skill_group
callcenterreporting,termination_call_detail
crmnotes,supportchannel
crmnotes,ticketnotes
crmnotes,tickets
crmnotes,ticketstate
crmnotes,tickettype
cust_contact,contact_email
cust_contact,contact_email_bounce
cust_contact,contact_email_open
cust_contact,contact_emailrespondermart
cust_contact,customermap
cust_customertracking,gdshoppercrossover
cust_customertracking,rptdimportfoliosegment
cust_customertracking,segment
cust_customertracking,shopperheader
cust_customertracking,shopperheaderaudit
cust_customertracking,shopperlcaprobability
cust_survey,csf_answer
cust_survey,csf_classificationtype
cust_survey,csf_question
cust_survey,csf_survey
cust_survey,csf_surveysent
cust_survey,csf_surveysource
cust_survey,csf_surveytaken
cust_survey,csf_surveytakenanswers
customer_consent,journal
customer_consent,resources
domainalert,backorderhistory
domainalert,backordertype
domainalert,ddc_domainmonitiorbackordercontactmessage
domainalert,dna_dropcaughtdomainauctions
domainalert,domainbackorderregistrations
domainalert,domainbackorderregistrations_audit
domainalert,domainbackorderrequesttype
domainalert,domainbackorderstatus
domainalert,domainmonitor
domainalert,domainmonitorbilling
domains,agreementinfo
domains,agreements
domains,contacts
domains,contactsaddress
domains,contacttypelist
domains,dcc_domainvaluation
domains,dna_auctionstatus
domains,dna_domainexpiredauctions
domains,dna_domainexpiredauctions_audit
domains,dna_shopperauction
domains,dns_domainproduct
domains,domaininfo
domains,domaininfo_backendapiprovider
domains,domaininfo_status
domains,domaininfoaudit
domains,domaininfoaudit_2012m11
domains,domaininfoaudit_2012m11_2016
domains,domaininfoauditlog
domains,domainproduct_email
domains,domainproduct_hosting
domains,hubdata
domains,internalregistrar
domains,language
domains,nameserverchangetype
domains,nameserverhistory
domains,nameserverinfo
domains,ownerchangedomains
domains,ownerchangeinfo
domains,premiumdomaininfo
domains,premiumdomaininfoaudit
domains,premiumdomainstatus
domains,rec_domaincancellation
domains,rec_domainregistration
domains,rec_domaintransferin
domains,rec_domaintransferout
domains,registrargroups
domains,registrars
domains,registryhosts
domains,rs_registrar
domains,shopperdomainlist
domains,statecodetranslation
domains,statuschangerules_audit
domains,tlddata
domains,tlds
domains_whois_icann,icann_compliance_adminemail_redpointstaging
email_consent,journal
email_consent,resources
emailsystem,oc_contentblockcategory
emailsystem,oc_contentblockkey
emailsystem,oc_contentblocksubcategory
emailsystem,oc_emailqueuedetail
emailsystem,oc_emailqueuefailure
emailsystem,oc_emailqueuesuccess
emailsystem,oc_emailqueuesuccesssable
emailsystem,oc_emailqueuesuccesstracking
emailsystem,oc_emailqueuesuccesstrackingclick
emailsystem,tes_marketlocale
emailsystem,tes_reportingcategory
emailsystem,tes_reportingobjective
emailsystem,tes_reportingoptinstatus
emailsystem,tes_reportingproductcontent
emailsystem,tes_reportingsubcategory
emailsystem,tes_reportingsubobjective
emailsystem,tes_reportingtriggertype
emailsystem,tes_template
emailsystem,tes_templatecategory
emailsystem,tes_templatecontent
emailsystem,tes_templatereporting
fortknox,fortknox_shopper
fortknox,fortknox_shopperaudit_filter1
fortknox,tdacustomerhierarchy
fortknox,tdaemailattributes
